timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748179362454,4066,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-18,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4066
1748179362534,4064,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-19,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4064
1748179362654,4075,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-20,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4075
1748179362745,4077,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-21,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4077
1748179362821,4079,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-22,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4079
1748179362926,4068,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-23,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4068
1748179363060,4064,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-24,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4064
1748179363149,4068,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-25,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4068
1748179363255,4072,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-26,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4072
1748179363336,4068,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-27,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4068
